question 1 in English,"same question 1, but translated to Ukrainian",question 2 in English,"same question 2, but translated to Ukrainian"
What's a movie you rewatch often?,Який фільм ти часто передивляєшся?,What's a movie you could never watch again?,Який фільм ти ніколи б не подивився ще раз?
Favorite snack during a movie?,Улюблена закуска під час фільму?,A snack you hate during movies?,"Закуска, яку ти ненавидиш під час фільму?"
A dream travel destination?,Країна твоєї мрії для подорожі?,A country you'd avoid visiting?,"Країна, якої ти уникав би?"
What time would you wake up ideally?,О котрій ти б прокидався у ідеалі?,What time do you dread waking up?,О котрій ти ненавидиш прокидатися?
Your go-to comfort food?,Твоя улюблена їжа для втіхи?,Food you’d never eat again?,"Їжа, яку ти ніколи б не їв знову?"
A hobby you enjoy alone?,"Хобі, яким ти займаєшся наодинці?",A hobby you only enjoy with others?,"Хобі, яким ти займаєшся лише з іншими?"
A song that lifts your mood?,"Пісня, яка піднімає настрій?",A song that makes you cry?,"Пісня, від якої ти плачеш?"
Best gift you've ever received?,"Найкращий подарунок, який ти отримував?",Worst gift you’ve ever received?,"Найгірший подарунок, який ти отримував?"
A game you love playing?,"Гра, яку ти любиш грати?",A game you never understood?,"Гра, яку ти ніколи не розумів?"
A smell you love?,"Запах, який тобі подобається?",A smell you can’t stand?,"Запах, який ти ненавидиш?"
A name you like for a pet?,"Ім'я, яке тобі подобається для тварини?",A name you'd never use for a pet?,"Ім'я, яке ти ніколи не дав би тварині?"
What animal would you be?,Якою твариною ти хотів би бути?,What animal do you fear?,Якої тварини ти боїшся?
A color you wear often?,Який колір ти часто носиш?,A color you avoid wearing?,Якого кольору ти уникаєш у одязі?
A number you like?,"Цифра, яка тобі подобається?",A number that feels unlucky?,"Цифра, яка здається нещасливою?"
Your favorite day of the week?,Твій улюблений день тижня?,Your least favorite day of the week?,Твій найменш улюблений день тижня?
What’s a childhood toy you loved?,Улюблена іграшка з дитинства?,A toy you never liked?,"Іграшка, яка тобі не подобалась?"
A drink you always enjoy?,"Напій, який тобі завжди подобається?",A drink you refuse to try again?,"Напій, який ти більше не питимеш?"
What season suits you best?,Яка пора року тобі найбільше підходить?,What season do you dislike?,Яку пору року ти не любиш?
A dish you cook well?,Яку страву ти добре готуєш?,A dish you fail at cooking?,"Страва, яку ти не вмієш готувати?"
Your favorite item of clothing?,Улюблений предмет одягу?,Clothing item you avoid?,"Предмет одягу, який ти уникаєш?"
A sound you find calming?,"Звук, який тебе заспокоює?",A sound you can't tolerate?,"Звук, який тебе дратує?"
What book could you reread forever?,Яку книгу ти можеш читати знову й знову?,What book bored you most?,Яка книга тебе найбільше нудила?
A word you love saying?,"Слово, яке тобі подобається вимовляти?",A word that annoys you?,"Слово, яке тебе дратує?"
Favorite smell in nature?,Улюблений природний запах?,Least favorite natural smell?,Найнеприємніший запах природи?
What superpower would you want?,Яку надздібність ти б хотів мати?,What superpower would scare you?,Яка надздібність тебе б лякала?
Your favorite fictional character?,Твій улюблений вигаданий персонаж?,A fictional character you dislike?,"Вигаданий персонаж, який тобі не подобається?"
A language you wish to learn?,"Мова, яку ти хочеш вивчити?",A language that seems too hard?,"Мова, яка здається занадто складною?"
What’s your lucky number?,Яке твоє щасливе число?,What number do you avoid?,Якого числа ти уникаєш?
A job you'd love to try?,"Професія, яку ти хотів би спробувати?",A job you'd never want?,"Професія, яку ти ніколи не хотів би мати?"
A dessert you always say yes to?,"Десерт, на який ти завжди погоджуєшся?",A dessert you often skip?,"Десерт, який ти часто пропускаєш?"
Favorite superhero?,Улюблений супергерой?,Best person in your life?,Найкраща людина у твоєму житті?
Ideal age to lose virginity?,Ідеальний вік для втрати цноти?,Perfect number of people at a party?,Ідеальна кількість людей на вечірці?
A guilty pleasure TV show?,"ТБ-шоу, за яке тобі трохи соромно?",A show you'd never admit liking?,"Шоу, яке ти ніколи не визнаєш, що любиш?"
The first thing you'd buy if rich?,"Перше, що ти б купив, якби був багатий?",Something expensive you’d never buy?,"Щось дороге, що ти ніколи б не купив?"
Best excuse to cancel plans?,"Найкраще виправдання, щоб скасувати плани?",Worst excuse you've used?,"Найгірше виправдання, яке ти використовував?"
Most overused emoji?,Найчастіше вживаний емодзі?,Emoji you hate the most?,"Емодзі, який ти найбільше ненавидиш?"
Best way to spend a lazy day?,Найкращий спосіб провести лінивий день?,Worst way to be forced to spend a day?,"Найгірший спосіб, як тебе змушували проводити день?"
Something you’d scream on a rollercoaster?,Що б ти закричав на американських гірках?,Something you'd whisper in an elevator?,Що б ти прошепотів у ліфті?
Best outfit for a first date?,Найкраще вбрання для першого побачення?,Outfit that would ruin a date?,"Вбрання, яке зіпсує побачення?"
Weirdest thing you'd name a pet?,Найдивніше ім’я для домашнього улюбленця?,Cutest name you'd give a car?,Наймиліше ім’я для машини?
Best place to hide during a zombie attack?,"Найкраще місце, щоб сховатись під час зомбі-атаки?",Worst place to go on a first date?,Найгірше місце для першого побачення?
One item you’d grab in a fire?,"Одна річ, яку ти б схопив під час пожежі?",One thing you'd throw into a volcano?,"Одна річ, яку ти б кинув у вулкан?"
The funniest insult you can think of?,"Найсмішніша образа, яку ти можеш придумати?",The nicest insult you've received?,"Найприємніша образа, яку ти коли-небудь чув?"
Your favorite lie to tell?,"Улюблена брехня, яку ти розповідав?",A truth you always avoid?,"Правда, яку ти завжди уникаєш?"
Best thing to shout in public?,"Найкраще, що можна вигукнути на людях?",Worst thing to whisper in church?,"Найгірше, що можна прошепотіти в церкві?"
What would you name your autobiography?,Як би ти назвав свою автобіографію?,What would you title your villain origin story?,Як би ти назвав історію свого перетворення на лиходія?
What would you tattoo on your forehead?,Що б ти набив собі на лобі?,What should be banned from tattoos?,Що слід заборонити набивати у вигляді татуювання?
Best dance move you can do?,Твій найкращий танцювальний рух?,Dance move that should be illegal?,"Танцювальний рух, який слід заборонити?"
What do you sing in the shower?,Що ти співаєш у душі?,What would be awkward to sing in public?,Що було б незручно співати на людях?
Food you secretly love cold?,Яку їжу ти потай любиш холодною?,Food you only eat when nobody’s watching?,"Їжа, яку ти їси тільки коли ніхто не бачить?"
A made-up word you like?,"Вигадане слово, яке тобі подобається?",A real word you think sounds fake?,"Реальне слово, яке звучить несправжньо?"
Best reason to skip work?,Найкраща причина пропустити роботу?,Worst reason you’ve used to skip work?,"Найгірша причина, якою ти прикривав прогули?"
Your favorite ridiculous conspiracy?,Твоя улюблена смішна теорія змови?,A conspiracy you'd start?,"Теорія змови, яку ти сам би вигадав?"
Weirdest dream you remember?,"Найдивніший сон, який ти пам’ятаєш?",Dream you hope never comes true?,"Сон, який ти сподіваєшся, ніколи не здійсниться?"
A word that always makes you laugh?,"Слово, яке завжди змушує тебе сміятись?",A word that always sounds creepy?,"Слово, яке завжди звучить моторошно?"
Best made-up holiday?,Найкраще вигадане свято?,Holiday you secretly dislike?,"Свято, яке тобі таємно не подобається?"
Most random thing in your pocket?,Найвипадковіша річ у твоїй кишені?,Thing you wish was in your pocket?,"Річ, яку ти хотів би мати в кишені?"
Best prank you've pulled?,"Найкращий розіграш, який ти коли-небудь робив?",Worst prank someone pulled on you?,"Найгірший розіграш, який зробили з тобою?"
What's your dream pet?,Яка твоя улюблена тварина-мрія?,What's a pet you'd never own?,Яку тварину ти ніколи б не завів?
Best age to get married?,Який найкращий вік для одруження?,Worst age to get married?,Який найгірший вік для одруження?
Favorite smell?,Улюблений запах?,A smell you can't stand?,"Запах, який тебе дратує?"
Most hated chore?,Найбільш ненависне хатнє діло?,Chore you secretly enjoy?,Яке хатнє діло тобі таємно подобається?
Number of kids you'd want?,Скільки дітей ти хотів би мати?,Ideal number of siblings?,Ідеальна кількість братів і сестер?
Favorite drink on a hot day?,Улюблений напій у спеку?,Worst drink on a hot day?,Найгірший напій у спеку?
Your favorite superhero?,Твій улюблений супергерой?,Best real person you know?,"Найкраща реальна людина, яку ти знаєш?"
Song you'd play at a funeral?,"Пісня, яку ти б поставив на похороні?",Song you'd play at a wedding?,"Пісня, яку ти б поставив на весіллі?"
Funniest word you know?,"Найсмішніше слово, яке ти знаєш?",Most boring word you know?,"Найнудніше слово, яке ти знаєш?"
Your go-to dance move?,Твій улюблений танцювальний рух?,Dance move you'd never try?,"Танцювальний рух, який ти ніколи не спробуєш?"
Ideal age to retire?,Ідеальний вік для виходу на пенсію?,Age you'd hate to retire?,"Вік, у якому ти не хотів би вийти на пенсію?"
Best thing to put on toast?,"Найкраще, що можна покласти на тост?",Worst thing to put on toast?,"Найгірше, що можна покласти на тост?"
A food you always crave?,"Їжа, яку ти завжди прагнеш?",A food you'd never eat?,"Їжа, яку ти ніколи не з'їв би?"
Dream vacation destination?,Місце мрії для відпочинку?,Worst place to vacation?,Найгірше місце для відпочинку?
Favorite number?,Улюблене число?,Unluckiest number?,Найнещасливіше число?
A job you'd love?,"Робота, яку ти любив би?",Job you'd hate to do?,"Робота, яку ти ненавидів би?"
Something that always makes you laugh?,"Щось, що завжди тебе смішить?",Something that always makes you cry?,"Щось, що завжди тебе засмучує?"
Your favorite snack?,Твоя улюблена закуска?,A snack you think is overrated?,"Закуска, яку ти вважаєш переоціненою?"
Age you wish you were?,"Вік, у якому ти хотів би бути?",Age you never want to be again?,"Вік, у який ти не хочеш повертатись?"
Most used app on your phone?,Найбільш використовуваний додаток на телефоні?,App you wish didn't exist?,"Додаток, якого ти бажаєш, щоб не існувало?"
Your go-to karaoke song?,Твоя улюблена пісня для караоке?,Song you'd never sing?,"Пісня, яку ти ніколи не заспіваєш?"
Number of countries you'd like to visit?,Скільки країн ти хочеш відвідати?,Number of countries you've visited?,Скільки країн ти вже відвідав?
A hobby you wish you had?,"Хобі, яке ти хотів би мати?",A hobby you’ll never try?,"Хобі, яке ти ніколи не спробуєш?"
Best way to wake up?,Найкращий спосіб прокинутись?,Worst way to wake up?,Найгірший спосіб прокинутись?
A name you love?,"Ім’я, яке тобі подобається?",A name you'd never give?,"Ім’я, яке ти ніколи не дав би?"
Favorite pizza topping?,Улюблена начинка для піци?,Worst pizza topping?,Найгірша начинка для піци?
Your dream car?,Автомобіль твоєї мрії?,A car you'd never drive?,"Автомобіль, на якому ти ніколи б не їздив?"
Best movie of all time?,Найкращий фільм усіх часів?,Worst movie you've ever seen?,"Найгірший фільм, який ти бачив?"
Number of hours of sleep you need?,Скільки годин сну тобі потрібно?,Number of hours you usually get?,Скільки годин ти зазвичай спиш?
Your comfort food?,Твоя їжа-комфорт?,Food that stresses you out?,"Їжа, що тебе напружує?"
A place that calms you?,"Місце, яке тебе заспокоює?",A place that stresses you?,"Місце, яке тебе напружує?"
Your guilty pleasure TV show?,Твій винний телесеріал?,TV show you hate but watched?,"Серіал, який ти ненавидиш, але дивився?"
Ideal number of people at a party?,Ідеальна кількість людей на вечірці?,Worst party size?,Найгірша кількість людей на вечірці?
Number of books read last year?,Скільки книжок ти прочитав минулого року?,Number of books you started but didn’t finish?,"Скільки книжок ти почав, але не закінчив?"
Favorite season?,Улюблена пора року?,Worst time of year?,Найгірша пора року?
A movie you'd watch on repeat?,"Фільм, який ти готовий дивитись знову і знову?",A movie you'd never rewatch?,"Фільм, який ти ніколи не передивишся?"
Best time to wake up?,Найкращий час для пробудження?,Worst time to be woken up?,Найгірший час для пробудження?
A fear you’ve overcome?,"Страх, який ти подолав?",A fear you still have?,"Страх, який у тебе ще є?"
Favorite thing to do alone?,Улюблене заняття наодинці?,Thing you hate doing alone?,Що ти ненавидиш робити наодинці?
A word you overuse?,"Слово, яке ти надто часто вживаєш?",A word you hate hearing?,"Слово, яке тебе дратує чути?"
Age you want to live to?,До якого віку ти хочеш дожити?,Age you think is too old?,"Вік, який вважаєш занадто старим?"
Your secret talent?,Твій таємний талант?,Talent you wish you had?,"Талант, який хотів би мати?"
A lie you often tell?,"Брехня, яку ти часто говориш?",A truth you often avoid?,"Правда, яку ти уникаєш казати?"
Most loved gift received?,"Найкращий подарунок, який ти отримав?",Worst gift you've received?,"Найгірший подарунок, який ти отримав?"
Best advice you've received?,"Найкраща порада, яку тобі дали?",Worst advice you've received?,"Найгірша порада, яку ти отримав?"
Your favorite emoji?,Твій улюблений емодзі?,An emoji you never use?,"Емодзі, яким ти ніколи не користуєшся?"
Best reason to cancel plans?,Найкраща причина скасувати плани?,Worst excuse you've used?,"Найгірше виправдання, яке ти використав?"
"What is your favorite comfort food?","Яка ваша улюблена їжа для комфорту?","What food do you avoid at all costs?","Яку їжу ви уникаєте будь-якою ціною?"
"Name a movie you could watch forever.","Назвіть фільм, який ви могли б дивитися вічно.","Name a movie you regret watching.","Назвіть фільм, про який шкодуєте, що подивилися."
"Who is your favorite fictional hero?","Хто ваш улюблений вигаданий герой?","Who is the most annoying fictional character?","Хто найдратівливіший вигаданий персонаж?"
"What is your favorite color to wear?","Який ваш улюблений колір одягу?","What color do you never wear?","Який колір ви ніколи не носите?"
"How many pets would you ideally have?","Скільки домашніх тварин ви хотіли б мати?","How many pets would you never want?","Скільки домашніх тварин ви ніколи не хотіли б мати?"
"Name a place you want to visit again.","Назвіть місце, яке хочете відвідати знову.","Name a place you want to avoid forever.","Назвіть місце, яке хочете уникати назавжди."
"What is your favorite hobby?","Яке ваше улюблене хобі?","What is a hobby you find boring?","Яке хобі ви вважаєте нудним?"
"How many hours do you sleep on average?","Скільки годин ви спите в середньому?","How many hours can you go without sleep?","Скільки годин ви можете не спати?"
"Name a song that makes you cry.","Назвіть пісню, яка змушує вас плакати.","Name a song that makes you dance.","Назвіть пісню, під яку хочеться танцювати."
"What is your ideal vacation length in days?","Яка ідеальна тривалість відпустки в днях?","What is the shortest vacation you would accept?","Яка найкоротша відпустка, яку ви б прийняли?"
"Who is your favorite comedian?","Хто ваш улюблений комік?","Who is the funniest person you know?","Хто найсмішніша людина, яку ви знаєте?"
"What is your favorite season of the year?","Яка ваша улюблена пора року?","What season do you dislike the most?","Яку пору року ви найбільше не любите?"
"Name a book you recommend to everyone.","Назвіть книгу, яку рекомендуєте всім.","Name a book you regret reading.","Назвіть книгу, про яку шкодуєте, що читали."
"What is your favorite ice cream flavor?","Який ваш улюблений смак морозива?","What ice cream flavor would you never try?","Який смак морозива ви ніколи не спробуєте?"
"How many languages can you speak?","Скільки мов ви можете говорити?","How many languages would you like to learn?","Скільки мов ви хотіли б вивчити?"
"Name a celebrity you admire.","Назвіть знаменитість, якою ви захоплюєтесь.","Name a celebrity you dislike.","Назвіть знаменитість, яку ви не любите."
"What is your favorite type of exercise?","Який ваш улюблений тип вправ?","What exercise do you hate the most?","Які вправи ви ненавидите найбільше?"
"How many cups of coffee do you drink daily?","Скільки чашок кави ви п’єте щодня?","How many cups of tea do you drink daily?","Скільки чашок чаю ви п’єте щодня?"
"What is your dream job?","Яка ваша робота мрії?","What job would you never do?","Яку роботу ви ніколи не зробите?"
"Name a city you would live in forever.","Назвіть місто, в якому ви б жили вічно.","Name a city you would never visit.","Назвіть місто, яке ви ніколи не відвідаєте."
"What is your favorite way to relax?","Який ваш улюблений спосіб розслабитися?","What stresses you out the most?","Що найбільше вас стресує?"
"How many siblings do you have?","Скільки у вас братів і сестер?","How many siblings would you want?","Скільки братів і сестер ви хотіли б мати?"
"Name a pet you would love to have.","Назвіть домашню тварину, яку хотіли б мати.","Name a pet you fear the most.","Назвіть домашню тварину, якої ви найбільше боїтеся."
"What is your favorite type of music?","Який ваш улюблений тип музики?","What type of music do you dislike?","Який тип музики вам не подобається?"
"How many best friends do you have?","Скільки у вас найкращих друзів?","How many best friends would you want?","Скільки найкращих друзів ви хотіли б мати?"
"Name a sport you enjoy watching.","Назвіть спорт, який вам подобається дивитися.","Name a sport you dislike watching.","Назвіть спорт, який вам не подобається дивитися."
"What is your favorite dessert?","Який ваш улюблений десерт?","What dessert do you avoid?","Який десерт ви уникаєте?"
"How many countries have you visited?","Скільки країн ви відвідали?","How many countries would you like to visit?","Скільки країн ви хотіли б відвідати?"
"Name a skill you want to learn.","Назвіть навичку, яку хочете опанувати.","Name a skill you find useless.","Назвіть навичку, яку вважаєте марною."
"What is your favorite holiday?","Яке ваше улюблене свято?","What holiday do you dislike?","Яке свято вам не подобається?"
"How many hours a day do you use your phone?","Скільки годин на день ви користуєтесь телефоном?","How many hours a day would you like to use it?","Скільки годин на день ви хотіли б користуватися телефоном?"
"Name a TV show you binge-watch.","Назвіть серіал, який ви дивитесь запоєм.","Name a TV show you stopped watching.","Назвіть серіал, який ви перестали дивитися."
"What is your favorite animal?","Яка ваша улюблена тварина?","What animal scares you?","Яка тварина вас лякає?"
"How many cups of water do you drink daily?","Скільки чашок води ви п’єте щодня?","How many cups of soda do you drink daily?","Скільки чашок содової ви п’єте щодня?"
"Name a place where you feel most at peace.","Назвіть місце, де ви почуваєтесь найбільш спокійно.","Name a place where you feel most anxious.","Назвіть місце, де ви почуваєтесь найбільш тривожно."
"What is your favorite type of weather?","Яка ваша улюблена погода?","What weather do you dislike the most?","Яку погоду ви найбільше не любите?"
"How many hours a week do you exercise?","Скільки годин на тиждень ви займаєтесь спортом?","How many hours a week would you like to exercise?","Скільки годин на тиждень ви хотіли б займатись спортом?"
"Name a guilty pleasure TV show.","Назвіть телешоу, яке ви дивитесь з почуттям провини.","Name a TV show you are proud to watch.","Назвіть телешоу, яке ви дивитесь з гордістю."
"What is your favorite type of pizza topping?","Яка ваша улюблена начинка для піци?","What pizza topping do you hate?","Яку начинку для піци ви ненавидите?"
"How many hours do you spend on social media daily?","Скільки годин на день ви проводите в соцмережах?","How many hours would you like to spend on social media?","Скільки годин ви хотіли б проводити в соцмережах?"
"Name a childhood toy you loved.","Назвіть улюблену іграшку дитинства.","Name a childhood toy you disliked.","Назвіть іграшку дитинства, яка вам не подобалась."
"What is your favorite type of chocolate?","Який ваш улюблений вид шоколаду?","What type of chocolate do you avoid?","Який вид шоколаду ви уникаєте?"
"How many concerts have you attended?","Скільки концертів ви відвідали?","How many concerts would you like to attend?","Скільки концертів ви хотіли б відвідати?"
"Name a language you find beautiful.","Назвіть мову, яку ви вважаєте красивою.","Name a language you find difficult.","Назвіть мову, яку ви вважаєте складною."
"What is your favorite way to spend a weekend?","Який ваш улюблений спосіб провести вихідні?","What weekend activity do you dislike?","Яку діяльність на вихідних ви не любите?"
"How many books do you read per year?","Скільки книг ви читаєте на рік?","How many books would you like to read per year?","Скільки книг ви хотіли б читати на рік?"
"Name a guilty pleasure snack.","Назвіть улюблену закуску з почуттям провини.","Name a healthy snack you enjoy.","Назвіть корисну закуску, яка вам подобається."
"What is your favorite superhero?","Хто ваш улюблений супергерой?","Who is the best person in your life?","Хто найкраща людина у вашому житті?"
"Ideal age to lose virginity?","Ідеальний вік для втрати цноти?","Perfect number of people at a party?","Ідеальна кількість людей на вечірці?"
"Favorite comfort food?","Улюблена комфортна їжа?","Food you absolutely hate?","Їжа, яку ти абсолютно ненавидиш?"
"Best pizza topping?","Найкращий топінг для піци?","Worst pizza topping?","Найгірший топінг для піци?"
"Go-to drink on a night out?","Напій для вечірки?","Drink you'd never order?","Напій, який би ти ніколи не замовив?"
"Ideal breakfast food?","Ідеальна їжа для сніданку?","Ideal midnight snack?","Ідеальний перекус опівночі?"
"Song that makes you dance?","Пісня, що змушує танцювати?","Song that makes you cry?","Пісня, що змушує плакати?"
"Favorite music genre?","Улюблений музичний жанр?","Most overrated music genre?","Найбільш переоцінений музичний жанр?"
"Concert you'd love to attend?","Концерт, який би ти хотів відвідати?","Artist you'd never pay for?","Артист, за якого б ти ніколи не заплатив?"
"Favorite movie villain?","Улюблений кінолиходій?","Favorite movie hero?","Улюблений кіногерой?"
"TV show you binge-watched?","Серіал, який ти дивився запоєм?","TV show you quit watching?","Серіал, який ти кинув дивитись?"
"Movie that scared you most?","Фільм, що налякав тебе найбільше?","Movie that made you laugh hardest?","Фільм, що розсмішив тебе найбільше?"
"Ideal way to spend Saturday?","Ідеальний спосіб провести суботу?","Most boring weekend activity?","Найнудніше заняття на вихідних?"
"Hobby you'd love to try?","Хобі, яке б ти хотів спробувати?","Hobby you find pointless?","Хобі, яке ти вважаєш безглуздим?"
"Favorite type of vacation?","Улюблений тип відпустки?","Worst travel experience destination?","Місце з найгіршим досвідом подорожі?"
"Superpower you would choose?","Яку б суперсилу ти обрав?","Most useless superpower imaginable?","Найбезглуздіша суперсила, яку можна уявити?"
"If reincarnated, what animal?","Якби реінкарнувався, то якою твариною?","Animal you are most scared of?","Тварина, якої ти боїшся найбільше?"
"What historical period to visit?","Який історичний період відвідати?","Period you'd least want to live in?","Період, в якому ти найменше хотів би жити?"
"Your lucky number?","Твоє щасливе число?","Unluckiest number for you?","Найнещасливіше число для тебе?"
"Ideal number of kids?","Ідеальна кількість дітей?","Ideal number of pets?","Ідеальна кількість домашніх тварин?"
